27,4.140625,1906
27.25,4.53125,638
27.5,4.140625,2425
27.75,4.140625,1911
28,4.53125,584
28.25,4.140625,2017
28.5,4.140625,1881
28.75,4.140625,1523
29,5.234375,1214
29.25,5.3125,523
29.5,5.3125,576
29.75,5.3125,618
30,0,600
14,4.140625,13706
14.25,4.140625,19542
14.5,4.140625,16897
14.75,4.140625,20019
15,4.140625,16874
15.25,4.21875,20786
15.5,4.140625,19084
15.75,4.140625,19618
16,4.21875,20321
16.25,4.21875,18763
16.5,4.21875,18396
16.75,4.140625,15788
17,4.21875,14934
17.25,4.21875,15360
17.5,4.296875,9795
17.75,4.21875,9459
18,4.21875,5671
18.25,4.296875,4216
18.5,4.0625,7201
18.75,4.21875,2772
19,4.453125,2927
19.25,11.171875,842
19.5,4.140625,6476
19.75,4.140625,5678
20,4.21875,4872
20.25,4.140625,2864
20.5,4.21875,10030
20.75,4.21875,10054
21,4.21875,9736
21.25,4.140625,10884
21.5,4.140625,10998
21.75,4.140625,10232
22,4.140625,9873
22.25,4.21875,9022
22.5,4.21875,9305
22.75,4.140625,7553
23,5.390625,4233
23.25,5.3125,2463
23.5,5.390625,4630
23.75,5.234375,1995
24,5.390625,2250
24.25,3.984375,1082
24.5,5.3125,2410
24.75,5.234375,1195
25,5.390625,3228
25.25,5.390625,1766
25.5,5.46875,2984
25.75,4.453125,938
26,5.46875,2577
26.25,4.21875,4789
26.5,4.453125,830
26.75,11.25,3234
27,4.0625,1295
27.25,4.453125,741
27.5,4.140625,2769
27.75,4.0625,2161
28,11.171875,1072
28.25,3.984375,1953
28.5,4.140625,1839
28.75,5.234375,1111
29,5.3125,830
29.25,11.25,378
29.5,4.140625,290
29.75,5.3125,454
30,4.6875,480
14,4.140625,13502
14.25,4.140625,18963
14.5,4.140625,17420
14.75,4.140625,19248
15,4.140625,17648
15.25,4.140625,20555
15.5,4.140625,19431
15.75,4.140625,21003
16,4.21875,21350
16.25,4.21875,20574
16.5,4.21875,19451
16.75,4.21875,17205
17,4.21875,15748
17.25,4.140625,14541
17.5,4.21875,9582
17.75,4.21875,8614
18,4.21875,6090
18.25,4.296875,4174
18.5,5.3125,6826
18.75,4.21875,2923
19,11.40625,2043
19.25,11.25,847
19.5,4.140625,7581
19.75,4.140625,6269
20,4.21875,5086
20.25,4.0625,3281
20.5,4.21875,10971
20.75,4.21875,10677
21,4.21875,10984
21.25,4.140625,10437
21.5,4.140625,10032
21.75,4.140625,9807
