14,11.875,20650
14.25,11.953125,19573
14.5,11.953125,17241
14.75,11.953125,20101
15,11.953125,16375
15.25,11.875,22669
15.5,11.953125,20060
15.75,11.953125,20975
16,11.953125,22014
16.25,11.875,21586
16.5,11.875,20099
16.75,11.875,18025
17,11.875,20973
17.25,11.875,18581
17.5,11.875,15645
17.75,11.875,21012
18,11.875,23392
18.25,11.953125,17957
18.5,11.953125,15697
18.75,11.875,20392
19,11.953125,30994
19.25,11.875,33024
19.5,11.953125,25098
19.75,11.953125,15855
20,11.953125,17465
20.25,11.953125,41728
20.5,11.953125,53594
20.75,11.953125,62481
21,11.875,70324
21.25,11.953125,67598
21.5,11.875,75068
21.75,11.875,78748
22,11.953125,77246
22.25,11.953125,73798
22.5,11.953125,71645
22.75,11.953125,68238
23,11.953125,64548
23.25,11.875,58218
23.5,11.875,48151
23.75,11.875,34372
24,11.953125,25462
24.25,11.953125,15519
24.5,11.953125,8401
24.75,11.953125,2290
25,11.875,5303
25.25,11.953125,8214
25.5,11.875,11500
25.75,11.875,10964
26,11.875,14106
26.25,11.875,16021
26.5,11.953125,19301
26.75,11.875,14979
27,11.875,15925
27.25,11.875,14011
27.5,11.953125,16183
27.75,11.953125,14506
28,11.953125,10924
28.25,11.953125,19714
28.5,11.953125,11041
28.75,11.875,9375
29,11.875,7410
29.25,11.953125,5933
29.5,11.953125,5187
29.75,11.953125,3324
30,4.21875,240
14,11.875,20283
14.25,11.953125,18959
14.5,11.953125,17402
14.75,11.953125,19958
15,11.953125,18234
15.25,11.875,22323
15.5,11.953125,19766
15.75,11.953125,20686
16,11.953125,21334
16.25,11.875,21696
16.5,11.875,19727
16.75,11.875,18225
17,11.953125,21177
17.25,11.875,18509
17.5,11.875,15603
17.75,11.875,20817
18,11.875,23154
18.25,11.953125,17794
18.5,11.953125,17100
18.75,11.875,19928
19,11.953125,31226
19.25,11.875,32765
19.5,11.953125,24734
19.75,11.953125,15780
20,11.953125,17423
20.25,11.953125,42722
20.5,11.953125,53158
